Table Name,ID,Parent ID,Change Type,Attribute,Original Value,New Value
Audit History,165203393,N/A,INSERT,,,
Audit History,165203425,N/A,INSERT,,,
Audit History,165203053,N/A,INSERT,,,
Audit History,165202301,N/A,INSERT,,,
Audit History,165202333,N/A,INSERT,,,
Audit History,165202269,N/A,INSERT,,,
OH Primary,389832977,N/A,UPDATE,installed_length,112.5,226
Primary Wire,248916536,248916523,UPDATE,status,Existing,Deleted
Audit History,165203304,N/A,INSERT,,,
Audit History,165203336,N/A,INSERT,,,
Audit History,165203368,N/A,INSERT,,,
Audit History,165198862,N/A,INSERT,,,
Audit History,165201797,N/A,INSERT,,,
Audit History,165201893,N/A,INSERT,,,
Audit History,165202924,N/A,INSERT,,,
Audit History,165202739,N/A,INSERT,,,
Audit History,165202771,N/A,INSERT,,,
Audit History,165203587,N/A,INSERT,,,
Audit History,165203619,N/A,INSERT,,,
Primary Wire,217524481,217524478,UPDATE,status,Existing,Deleted
Primary Wire,217524513,217524512,UPDATE,phase,A,C
OH Primary,248916382,N/A,UPDATE,calculated_length,252.2,unset
OH Primary,248916382,N/A,UPDATE,installed_length,252.2,127
OH Primary,248916382,N/A,GEOM UPDATE,route,chain (1),chain (2) - Length Changed  < 1cm
OH Primary,248916414,N/A,UPDATE,installed_length,123.6,126
Audit History,165203182,N/A,INSERT,,,
Audit History,165202958,N/A,INSERT,,,
Audit History,165202510,N/A,INSERT,,,
Audit History,165202542,N/A,INSERT,,,
Audit History,165203143,N/A,INSERT,,,
Audit History,165202951,N/A,INSERT,,,
Audit History,165202983,N/A,INSERT,,,
Audit History,165202231,N/A,INSERT,,,
Audit History,165202681,N/A,INSERT,,,
Audit History,165203273,N/A,INSERT,,,
Audit History,165203401,N/A,INSERT,,,
Audit History,165203433,N/A,INSERT,,,
OH Primary,221612576,N/A,UPDATE,installed_length,13.24,49
Audit History,165202708,N/A,INSERT,,,
Audit History,165202804,N/A,INSERT,,,
Audit History,165202836,N/A,INSERT,,,
Primary Wire,217524482,217524478,UPDATE,status,Existing,Deleted
Audit History,165202450,N/A,INSERT,,,
Audit History,165203298,N/A,INSERT,,,
Audit History,165203330,N/A,INSERT,,,
Audit History,165203362,N/A,INSERT,,,
Audit History,165202207,N/A,INSERT,,,
Audit History,165202239,N/A,INSERT,,,
Audit History,165202335,N/A,INSERT,,,
Audit History,165202367,N/A,INSERT,,,
OH Primary,217519398,N/A,UPDATE,installed_length,80,79
Audit History,165202490,N/A,INSERT,,,
Audit History,165202522,N/A,INSERT,,,
Audit History,165202554,N/A,INSERT,,,
Audit History,165202586,N/A,INSERT,,,
Audit History,165203109,N/A,INSERT,,,
Audit History,165203141,N/A,INSERT,,,
Audit History,165202765,N/A,INSERT,,,
Audit History,165202797,N/A,INSERT,,,
Audit History,165203461,N/A,INSERT,,,
Audit History,165203493,N/A,INSERT,,,
Audit History,165203589,N/A,INSERT,,,
Audit History,165203621,N/A,INSERT,,,
Primary Wire,217524515,217524512,UPDATE,phase,C,A
OH Primary,217524547,N/A,UPDATE,installed_length,75,83
Audit History,165203011,N/A,INSERT,,,
Audit History,165203043,N/A,INSERT,,,
Audit History,165203107,N/A,INSERT,,,
Audit History,165203139,N/A,INSERT,,,
Audit History,165203744,N/A,INSERT,,,
Audit History,165203776,N/A,INSERT,,,
Audit History,165203808,N/A,INSERT,,,
Audit History,165203840,N/A,INSERT,,,
Audit History,165202113,N/A,INSERT,,,
Audit History,165202145,N/A,INSERT,,,
OH Primary,217411143,N/A,UPDATE,installed_length,149,150
Audit History,165203403,N/A,INSERT,,,
Audit History,165203435,N/A,INSERT,,,
Audit History,165202683,N/A,INSERT,,,
Audit History,165199055,N/A,INSERT,,,
Audit History,165203328,N/A,INSERT,,,
Audit History,165202448,N/A,INSERT,,,
OH Primary,217524198,N/A,UPDATE,installed_length,37,38
Audit History,165203526,N/A,INSERT,,,
Audit History,165203558,N/A,INSERT,,,
Audit History,165202710,N/A,INSERT,,,
Audit History,165202806,N/A,INSERT,,,
Primary Wire,217524612,217524606,UPDATE,insulation,Unknown,BARE
Audit History,165203427,N/A,INSERT,,,
Audit History,165202675,N/A,INSERT,,,
Audit History,165203057,N/A,INSERT,,,
Audit History,165203089,N/A,INSERT,,,
Audit History,165203121,N/A,INSERT,,,
Audit History,165202993,N/A,INSERT,,,
Audit History,165202524,N/A,INSERT,,,
Audit History,165202556,N/A,INSERT,,,
Audit History,165202588,N/A,INSERT,,,
Audit History,165202620,N/A,INSERT,,,
Audit History,165201799,N/A,INSERT,,,
Audit History,165202139,N/A,INSERT,,,
Audit History,165201895,N/A,INSERT,,,
Audit History,165202926,N/A,INSERT,,,
Audit History,165203463,N/A,INSERT,,,
Audit History,165203495,N/A,INSERT,,,
Audit History,165203591,N/A,INSERT,,,
Audit History,165203623,N/A,INSERT,,,
OH Primary,217501672,N/A,UPDATE,installed_length,149,141
OH Primary,217501672,N/A,UPDATE,phase_orientation,ABC,BAC
Audit History,165202962,N/A,INSERT,,,
Audit History,165203154,N/A,INSERT,,,
Audit History,165203186,N/A,INSERT,,,
Audit History,165203746,N/A,INSERT,,,
Pole,389833142,N/A,UPDATE,framing_type,Unknown,Horizontal Neutral Low
OH Primary,217524768,N/A,UPDATE,installed_length,86,67
OH Primary,217524768,N/A,UPDATE,phase_orientation,ACB,ABC
Audit History,165203145,N/A,INSERT,,,
Audit History,165202953,N/A,INSERT,,,
Audit History,165202985,N/A,INSERT,,,
Audit History,165202329,N/A,INSERT,,,
Audit History,165203277,N/A,INSERT,,,
Audit History,165203373,N/A,INSERT,,,
Audit History,165203405,N/A,INSERT,,,
Audit History,165203437,N/A,INSERT,,,
OH Primary,217524331,N/A,UPDATE,status,Existing,Deleted
OH Primary,217524331,N/A,UPDATE,calculated_length,104,unset
OH Primary,68729768,N/A,UPDATE,installed_length,91.81,65
Audit History,165202808,N/A,INSERT,,,
Audit History,165202840,N/A,INSERT,,,
Audit History,165202872,N/A,INSERT,,,
Audit History,165202904,N/A,INSERT,,,
Audit History,165202612,N/A,INSERT,,,
Audit History,165202644,N/A,INSERT,,,
Audit History,165203300,N/A,INSERT,,,
OH Secondary,225229315,N/A,UPDATE,calculated_length,167.5,150
OH Secondary,225229315,N/A,GEOM UPDATE,route,chain (1),"chain (2) - Length Changed 10' 6.31"""
Audit History,165202995,N/A,INSERT,,,
Audit History,165203027,N/A,INSERT,,,
Audit History,165203059,N/A,INSERT,,,
Audit History,165203091,N/A,INSERT,,,
Primary Wire,217524737,217524733,UPDATE,insulation,Unknown,BARE
Primary Wire,354502863,118198251,UPDATE,status,Existing,Deleted
Audit History,165202462,N/A,INSERT,,,
Audit History,165202494,N/A,INSERT,,,
Audit History,165202526,N/A,INSERT,,,
Audit History,165202558,N/A,INSERT,,,
Audit History,165201048,N/A,INSERT,,,
Audit History,165201768,N/A,INSERT,,,
Primary Wire,217524332,217524331,UPDATE,status,Existing,Deleted
OH Primary,217524364,N/A,UPDATE,calculated_length,95.86,95.33
OH Primary,217524364,N/A,UPDATE,installed_length,95,92
OH Primary,217524364,N/A,UPDATE,phase_orientation,ACB,BCA
OH Primary,217524364,N/A,GEOM UPDATE,route,chain (1),"chain (2) - Length Changed 2' 2.84"""
Audit History,165202143,N/A,INSERT,,,
Audit History,165202175,N/A,INSERT,,,
Audit History,165202745,N/A,INSERT,,,
Audit History,165202777,N/A,INSERT,,,
Audit History,165202937,N/A,INSERT,,,
Audit History,165198505,N/A,INSERT,,,
Audit History,165203748,N/A,INSERT,,,
Audit History,165203780,N/A,INSERT,,,
Audit History,165203812,N/A,INSERT,,,
Audit History,165203844,N/A,INSERT,,,
Audit History,165201331,N/A,INSERT,,,
Audit History,165203407,N/A,INSERT,,,
Audit History,165203439,N/A,INSERT,,,
Audit History,165203215,N/A,INSERT,,,
Audit History,165203247,N/A,INSERT,,,
Primary Wire,217524365,217524364,UPDATE,phase,A,B
Primary Wire,221612582,221612576,UPDATE,status,Existing,Deleted
Audit History,165203530,N/A,INSERT,,,
Audit History,165203562,N/A,INSERT,,,
Audit History,165202906,N/A,INSERT,,,
Audit History,165202714,N/A,INSERT,,,
Audit History,165200862,N/A,INSERT,,,
Audit History,165200894,N/A,INSERT,,,
OH Primary,324692892,N/A,UPDATE,installed_length,40,23
Audit History,165203237,N/A,INSERT,,,
Audit History,165203269,N/A,INSERT,,,
Audit History,165203397,N/A,INSERT,,,
Audit History,165203429,N/A,INSERT,,,
Audit History,165203717,N/A,INSERT,,,
Audit History,165202997,N/A,INSERT,,,
Audit History,165203029,N/A,INSERT,,,
Audit History,165203061,N/A,INSERT,,,
OH Primary,217524835,N/A,UPDATE,installed_length,56,52
OH Primary,217524835,N/A,UPDATE,phase_orientation,CBA,ABC
Cable Segment Delta,527588754,N/A,INSERT,,,
Audit History,165203344,N/A,INSERT,,,
Audit History,165203312,N/A,INSERT,,,
Audit History,165203968,N/A,INSERT,,,
Audit History,165204000,N/A,INSERT,,,
Primary Wire,217524366,217524364,UPDATE,phase,B,C
Audit History,165202263,N/A,INSERT,,,
Audit History,165203015,N/A,INSERT,,,
Audit History,165203552,N/A,INSERT,,,
Audit History,165203648,N/A,INSERT,,,
Audit History,165202832,N/A,INSERT,,,
Audit History,165202864,N/A,INSERT,,,
Audit History,165203467,N/A,INSERT,,,
Audit History,165202747,N/A,INSERT,,,
Audit History,165202779,N/A,INSERT,,,
Audit History,165203499,N/A,INSERT,,,
Audit History,165202966,N/A,INSERT,,,
Audit History,165203158,N/A,INSERT,,,
Audit History,165203190,N/A,INSERT,,,
Audit History,165203942,N/A,INSERT,,,
Primary Wire,217524772,217524768,UPDATE,insulation,Unknown,BARE
Primary Wire,217524804,217524801,UPDATE,phase,C,A
Audit History,165202299,N/A,INSERT,,,
Audit History,165202987,N/A,INSERT,,,
Audit History,165203019,N/A,INSERT,,,
Audit History,165203051,N/A,INSERT,,,
Audit History,165203217,N/A,INSERT,,,
Audit History,165203249,N/A,INSERT,,,
Audit History,165203441,N/A,INSERT,,,
Audit History,165203377,N/A,INSERT,,,
Audit History,165202482,N/A,INSERT,,,
Audit History,165202514,N/A,INSERT,,,
OH Primary,217524463,N/A,UPDATE,installed_length,131,100
Audit History,165202876,N/A,INSERT,,,
Audit History,165202908,N/A,INSERT,,,
Audit History,165203564,N/A,INSERT,,,
Audit History,165203532,N/A,INSERT,,,
Audit History,165202582,N/A,INSERT,,,
Audit History,165202614,N/A,INSERT,,,
Audit History,165202646,N/A,INSERT,,,
Audit History,165203334,N/A,INSERT,,,
Audit History,165202999,N/A,INSERT,,,
Audit History,165203031,N/A,INSERT,,,
Audit History,165203063,N/A,INSERT,,,
Audit History,165203095,N/A,INSERT,,,
Primary Wire,217524805,217524801,UPDATE,insulation,Unknown,BARE
OH Transformer Bank,235922132,N/A,UPDATE,bank_configuration,'2 Phase Wye/Delta','3 Phase Open Wye/Open Delta'
Audit History,165203282,N/A,INSERT,,,
Audit History,165203314,N/A,INSERT,,,
Audit History,165203346,N/A,INSERT,,,
Audit History,165203970,N/A,INSERT,,,
Audit History,165201738,N/A,INSERT,,,
Audit History,165201770,N/A,INSERT,,,
Audit History,165203457,N/A,INSERT,,,
Audit History,165203489,N/A,INSERT,,,
Audit History,165203585,N/A,INSERT,,,
Primary Wire,221570375,221570373,UPDATE,status,Existing,Deleted
Audit History,165202781,N/A,INSERT,,,
Audit History,165202941,N/A,INSERT,,,
Audit History,165202749,N/A,INSERT,,,
OH Primary,217524715,N/A,UPDATE,calculated_length,129.5,unset
OH Primary,217524715,N/A,UPDATE,installed_length,130,173
OH Primary,217524715,N/A,UPDATE,phase_designation,BC,ABC
OH Primary,217524715,N/A,UPDATE,phase_orientation,BC,BAC
OH Primary,217524715,N/A,GEOM UPDATE,route,chain (1),chain (2) - Length Changed  < 1cm
Pole,230019389,N/A,UPDATE,framing_type,Unknown,Horizontal Center Phase High
Audit History,165203752,N/A,INSERT,,,
Audit History,165203784,N/A,INSERT,,,
Pole,231392111,N/A,UPDATE,framing_type,Unknown,Vertical Neutral Low
Audit History,165203160,N/A,INSERT,,,
Primary Wire,217524838,217524835,UPDATE,phase,A,C
Audit History,165201301,N/A,INSERT,,,
Audit History,165202117,N/A,INSERT,,,
Audit History,165202149,N/A,INSERT,,,
Audit History,165204035,N/A,INSERT,,,
Audit History,165204067,N/A,INSERT,,,
Audit History,165204099,N/A,INSERT,,,
Audit History,165204163,N/A,INSERT,,,
Pole,389833303,N/A,UPDATE,framing_type,Unknown,Horizontal Center Phase High
Audit History,165202814,N/A,INSERT,,,
Audit History,165202846,N/A,INSERT,,,
Audit History,165202878,N/A,INSERT,,,
Audit History,165202910,N/A,INSERT,,,
Audit History,165203431,N/A,INSERT,,,
Audit History,165202679,N/A,INSERT,,,
Audit History,165203721,N/A,INSERT,,,
Audit History,165199137,N/A,INSERT,,,
Audit History,165199297,N/A,INSERT,,,
Audit History,165199329,N/A,INSERT,,,
OH Primary,217524935,N/A,UPDATE,status,Existing,Deleted
OH Primary,217524935,N/A,UPDATE,calculated_length,93.86,unset
Audit History,165203284,N/A,INSERT,,,
Audit History,165203316,N/A,INSERT,,,
Audit History,165203348,N/A,INSERT,,,
Audit History,165203972,N/A,INSERT,,,
Audit History,165201899,N/A,INSERT,,,
OH Primary,217524402,N/A,UPDATE,calculated_length,201.9,200.8
OH Primary,217524402,N/A,UPDATE,installed_length,200,192
OH Primary,217524402,N/A,GEOM UPDATE,route,chain (1),chain (2) - Length Changed  < 1cm
Audit History,165202802,N/A,INSERT,,,
Audit History,165202930,N/A,INSERT,,,
Audit History,165202834,N/A,INSERT,,,
Audit History,165202866,N/A,INSERT,,,
Audit History,165203599,N/A,INSERT,,,
Audit History,165203631,N/A,INSERT,,,
Audit History,165203663,N/A,INSERT,,,
Audit History,165203695,N/A,INSERT,,,
Pole,231348718,N/A,UPDATE,framing_type,Unknown,Horizontal Neutral Low
Audit History,165202261,N/A,INSERT,,,
Audit History,165202293,N/A,INSERT,,,
Audit History,165202325,N/A,INSERT,,,
Audit History,165202970,N/A,INSERT,,,
